Belted Kingfisher, Ocean Beach, San Diego,CA, 2026-01-02, belted_kingfisher.jpg
American White Pelican, Ocean Beach, San Diego,CA, 2026-01-02, american_white_pelican.jpg
White-Crowned Sparrow, San Elijo Lagoon, San Diego,CA, 2025-12-29, white_crowned_sparrow.jpg
Great Blue Heron, San Elijo Lagoon, San Diego,CA, 2025-12-29,great_blue_heron.jpg
Black-Crowned Night Heron, San Elijo Lagoon, San Diego,CA, 2025-12-29,black_crowned_night_heron.jpg
California Thrasher, San Elijo Lagoon, San Diego,CA, 2025-12-29,california_thrasher.jpg
Heermann's Gull,La Jolla Cove,San Diego,CA, 2025-12-23,heermanns_gull.jpg
Island Scrub Jay,Santa Cruz Island,Ventura,CA, 2025-11-09,island_scrub_jay.jpg
Acorn Woodpecker,Descanso Gardens,La Canada Flintridge,CA,2025-08-02,acorn_woodpecker.jpg
Snowy Egret,Malibu Creek State Park,Calabasas,CA,2025-07-20,snowy_egret.jpg
Turkey Vulture,Malibu Creek State Park,Calabasas,CA,2025-07-20,turkey_vulture.jpg
Red-Whiskered Bulbul,Huntington Gardens,San Marino,CA,2025-07-18,red_whiskered_bulbul.jpg
Pin-Tailed Whydah,Los Angeles Arboretum,Arcadia,CA,2025-07-18,pin_tailed_whydah.jpg
Mourning Dove,Los Angeles Arboretum,Arcadia,CA,2025-07-18,mourning_dove.jpg
Bewick's Wren,Los Angeles Arboretum,Arcadia,CA,2025-07-18,bewicks_wren.jpg
Ash-Throated Flycatcher, Ed Davis Park,Newhall,CA, 2025-07-12, ash_throated_flycatcher.jpg
Spotted Towhee, Ed Davis Park,Newhall,CA, 2025-07-12,spotted_towhee.jpg
California Quail, Ed Davis Park,Newhall,CA, 2025-07-12,california_quail.jpg
Brown-Headed Cowbird,Sepulveda Basin,Van Nuys,CA,2025-07-06,brown_headed_cowbird.jpg
Red-Winged Blackbird,Sepulveda Basin,Van Nuys,CA,2025-07-06,red_winged_blackbird.jpg
Blue Grosbeak,Sepulveda Basin,Van Nuys,CA,2025-07-06,blue_grosbeak.jpg
White-Breasted Nuthatch,Sepulveda Basin,Van Nuys,CA,2025-07-06,white_breasted_nuthatch.jpg
Great-Horned Owl,Sepulveda Basin,Van Nuys,CA,2025-07-06,great_horned_owl.jpg
Western Bluebird,Sepulveda Basin,Van Nuys,CA,2025-07-06,western_bluebird.jpg
California Scrub Jay,Santa Susana Pass,Los Angeles,CA,2025-07-04,california_scrub_jay.jpg
Black Phoebe,Japanese Friendship Garden,San Diego,CA,2025-03-29,black_phoebe.jpg
Townsend's Warbler,Japanese Friendship Garden,San Diego,CA,2025-03-29,townsends_warbler.jpg
House Sparrow,La Jolla Cove,San Diego,CA,2024-09-19,house_sparrow.jpg
Northern Cardinal,United States Botanic Garden,Washington,DC,2024-09-13,northern_cardinal.jpg
Gray Catbird,United States Botanic Garden,Washington,DC,2024-09-13,gray_catbird.jpg
Downy Woodpecker,Rock Creek Park,Washington,DC,2024-09-13,downy_woodpecker.jpg
Red-Bellied Woodpecker,Rock Creek Park,Washington,DC,2024-09-13,red_bellied_woodpecker.jpg
American Robin,Rock Creek Park,Washington,DC,2024-09-13,american_robin.jpg
Black Vulture,Theodore Roosevelt Island,Washington,DC,2024-09-12,black_vulture.jpg
Northern Mockingbird,Kenilworth Park,Washington,DC,2024-09-12,northern_mockingbird.jpg
Brandt's Cormorant,La Jolla Cove,San Diego,CA,2024-06-19,brandts_cormorant.jpg
Western Gull,La Jolla Cove,San Diego,CA,2024-06-19,western_gull.jpg
Greater Roadrunner,Nob Hill,Albuquerque,NM,2023-07-02,greater_roadrunner.jpg
Rock Pigeon,National Mall,Washington,DC,2024-09-13,rock_pigeon.jpg
